2019-06-07 23:13:43,478 - INFO - Criando servidor com parametros host: 10.254.224.52, port:55000, interval: 0.001
2019-06-07 23:13:43,478 - INFO - Criando socket UDP
2019-06-07 23:14:02,464 - INFO - sending message(id:193) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,466 - INFO - sending message(id:194) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,467 - INFO - sending message(id:195) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,469 - INFO - sending message(id:196) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,471 - INFO - sending message(id:197) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,472 - INFO - sending message(id:198) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,474 - INFO - sending message(id:199) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,478 - INFO - sending message(id:200) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,479 - INFO - sending message(id:201) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,480 - INFO - sending message(id:202) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,482 - INFO - sending message(id:203) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,484 - INFO - sending message(id:204) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,486 - INFO - sending message(id:205) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,488 - INFO - sending message(id:206) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,490 - INFO - sending message(id:207) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,492 - INFO - sending message(id:208) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,494 - INFO - sending message(id:209) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,496 - INFO - sending message(id:210) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,498 - INFO - sending message(id:211) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,501 - INFO - sending message(id:212) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,503 - INFO - sending message(id:213) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,504 - INFO - sending message(id:214) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,507 - INFO - sending message(id:215) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,508 - INFO - sending message(id:216) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,511 - INFO - sending message(id:217) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,512 - INFO - sending message(id:218) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,515 - INFO - sending message(id:219) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,516 - INFO - sending message(id:220) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,518 - INFO - sending message(id:221) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,520 - INFO - sending message(id:222) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,522 - INFO - sending message(id:223) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,525 - INFO - sending message(id:224) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,526 - INFO - sending message(id:225) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,528 - INFO - sending message(id:226) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,530 - INFO - sending message(id:227) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,532 - INFO - sending message(id:228) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,534 - INFO - sending message(id:229) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,536 - INFO - sending message(id:230) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,537 - INFO - sending message(id:231) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,540 - INFO - sending message(id:232) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,541 - INFO - sending message(id:233) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,543 - INFO - sending message(id:234) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,545 - INFO - sending message(id:235) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,549 - INFO - sending message(id:236) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,550 - INFO - sending message(id:237) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,552 - INFO - sending message(id:238) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,554 - INFO - sending message(id:239) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,555 - INFO - sending message(id:240) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,557 - INFO - sending message(id:241) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,559 - INFO - sending message(id:242) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,560 - INFO - sending message(id:243) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,563 - INFO - sending message(id:244) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,564 - INFO - sending message(id:245) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,567 - INFO - sending message(id:246) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,568 - INFO - sending message(id:247) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,570 - INFO - sending message(id:248) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,573 - INFO - sending message(id:249) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,574 - INFO - sending message(id:250) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,576 - INFO - sending message(id:251) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,579 - INFO - sending message(id:252) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,580 - INFO - sending message(id:253) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,583 - INFO - sending message(id:254) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,585 - INFO - sending message(id:255) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,587 - INFO - sending message(id:256) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,588 - INFO - sending message(id:257) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,590 - INFO - sending message(id:258) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,592 - INFO - sending message(id:259) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,595 - INFO - sending message(id:260) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,596 - INFO - sending message(id:261) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,598 - INFO - sending message(id:262) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,601 - INFO - sending message(id:263) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,602 - INFO - sending message(id:264) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,606 - INFO - sending message(id:265) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,607 - INFO - sending message(id:266) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,609 - INFO - sending message(id:267) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,612 - INFO - sending message(id:268) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,614 - INFO - sending message(id:269) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,615 - INFO - sending message(id:270) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,617 - INFO - sending message(id:271) to ('10.254.224.48', 56916)
